"Date","Android","iOS","Unknown","Linux","Windows","SymbianOS","Series 40","Samsung","BlackBerry OS","Nokia Unknown","Other"
2012,48.19,28.56,14.38,0.13,0.56,6.04,0.69,0.8,0.13,0.02,0.49
2013,56.44,29.8,6.07,2.27,0.72,2.23,0.98,0.87,0.1,0.08,0.46
2014,60.17,33.25,2.39,2.17,0.72,0.45,0.31,0.22,0.07,0.17,0.07
2015,69.18,29.1,0.56,0.2,0.57,0.07,0.08,0.07,0.06,0.09,0.02
2016,72.73,25.9,0.41,0.1,0.55,0.02,0.03,0.03,0.2,0.03,0.01
2017,72.06,26.98,0.68,0.06,0.16,0.01,0.01,0.01,0.03,0.01,0
2018,74.34,23.99,0.98,0.53,0.1,0.01,0.01,0.01,0.03,0.01,0
2019,76.37,22.75,0.6,0.2,0.03,0.02,0,0,0.01,0,0
2020,79.34,19.72,0.84,0.03,0.04,0,0,0,0.01,0,0
2021,77.44,21.62,0.87,0.01,0.01,0.01,0,0.01,0.02,0,0
2022,74.25,25.06,0.64,0.01,0.01,0.02,0,0.02,0,0,0
2023,74.64,24.82,0.49,0,0.01,0.01,0,0.01,0,0,0
2009,0,0,0,0,0,0,0,0,0,0,0
2010,0,0,0,0,0,0,0,0,0,0,0
2011,0,0,0,0,0,0,0,0,0,0,0
