"Date","Windows","Unknown","OS X","Linux","Android","Chrome OS","iOS","Other"
2009,99.63,0.05,0.12,0.2,0,0,0,0
2010,99.45,0.07,0.21,0.26,0,0,0.01,0.01
2011,99.32,0.04,0.29,0.28,0.01,0,0.06,0.01
2012,99.12,0.04,0.42,0.28,0.02,0,0.11,0.01
2013,99.12,0.02,0.46,0.3,0.1,0,0,0
2014,97.91,0.65,0.87,0.51,0.05,0.01,0,0
2015,96.1,2.13,1.1,0.65,0,0.02,0,0
2016,91.83,6.34,1.21,0.6,0,0.02,0,0
2017,91.62,4.96,2.37,1.02,0,0.04,0,0
2018,87.67,7.58,3.74,0.89,0,0.12,0,0
2019,80.85,13.34,4.97,0.81,0,0.03,0,0
2020,84.57,9.62,4.72,1.05,0,0.04,0,0
2021,82.55,14.09,1.82,1.46,0,0.07,0,0
2022,85.82,10.17,2.3,1.6,0,0.11,0,0
2023,83.41,11.9,2.73,1.81,0,0.14,0,0.01
