"Date","Windows","OS X","Unknown","Linux","iOS","Android","Chrome OS","Other"
2009,99.72,0.15,0.04,0.08,0,0,0,0
2010,99.47,0.31,0.08,0.11,0.03,0,0,0
2011,99.09,0.46,0.05,0.13,0.22,0.05,0,0.01
2012,98.58,0.57,0.05,0.22,0.45,0.12,0,0.01
2013,98.73,0.45,0.02,0.33,0,0.47,0,0
2014,97.6,0.66,0.88,0.54,0,0.32,0.01,0
2015,96.1,0.97,2.25,0.65,0,0,0.02,0
2016,91.71,1.94,5.53,0.81,0,0,0.01,0
2017,94.27,3.16,1.78,0.77,0,0,0.03,0
2018,91.51,3.84,3.75,0.66,0,0,0.24,0
2019,96.63,1.65,1.51,0.19,0,0,0.02,0
2020,95.39,3,0.95,0.61,0,0,0.04,0
2021,87.84,1.98,5.78,4.23,0,0,0.16,0
2022,84.7,2.96,8.35,3.88,0,0,0.1,0
2023,82.07,2.05,12.76,2.98,0,0,0.14,0
