"Date","Windows","OS X","Linux","Unknown","iOS","Android","Chrome OS","Other"
2009,98.82,0.54,0.5,0.12,0,0,0,0.01
2010,98.52,0.76,0.64,0.05,0.02,0,0,0.01
2011,98.18,0.89,0.68,0.05,0.16,0.03,0,0.01
2012,97.68,1.12,0.77,0.05,0.28,0.08,0,0.01
2013,97.48,1.34,0.92,0.03,0,0.23,0,0
2014,96.27,1.84,1.22,0.54,0,0.11,0.02,0
2015,94.22,2.46,1.64,1.64,0,0,0.03,0
2016,90.95,2.74,2.67,3.58,0,0,0.05,0.01
2017,90.74,4.11,2.38,2.66,0,0,0.09,0.01
2018,89.77,4.11,1.58,4.45,0,0,0.09,0
2019,88.85,5.18,1.71,4.16,0,0,0.09,0
2020,89.89,6.16,1.72,2.13,0,0,0.1,0
2021,88.93,4.77,3.05,3.11,0,0,0.13,0
2022,91.4,4.68,1.46,2.32,0,0,0.13,0
2023,88.51,4.33,2.36,4.68,0,0,0.11,0
