"Date","Android","iOS","Series 40","SymbianOS","Windows","Samsung","Unknown","Nokia Unknown","BlackBerry OS","bada","LG","Linux","Sony Ericsson","Playstation","Other"
2012,31.34,26.25,12.11,16.16,0.94,5.32,3.92,0.01,1.39,1.1,0.13,0.11,0.89,0.12,0.2
2013,40.82,25.73,11.02,10.15,1.05,4.19,3.37,0.01,1.49,0.99,0.41,0.16,0.41,0.07,0.14
2014,56.93,22.94,8.37,3.85,1.78,2.26,1.46,0.1,0.88,0.63,0.4,0.1,0.2,0.05,0.05
2015,71.07,13.82,5.56,1.97,2.38,1.58,0.78,1.12,0.71,0.33,0.32,0.22,0.1,0.04,0.03
2016,79.75,10.12,2.63,1.37,2.09,1.48,0.43,0.96,0.44,0.22,0.24,0.16,0.07,0.03,0.02
2017,85.05,10.35,0.88,0.43,1.64,0.56,0.21,0.41,0.22,0.08,0.05,0.05,0.01,0.02,0.05
2018,83.77,14.44,0.23,0.1,0.85,0.2,0.09,0.11,0.1,0.03,0.01,0.03,0,0.01,0.04
2019,73.61,25.96,0.04,0.02,0.2,0.08,0.01,0.03,0.02,0,0,0.01,0,0,0.01
2020,78.4,21.19,0.02,0.01,0.1,0.21,0.02,0.02,0.01,0,0,0.01,0,0,0.01
2021,67.4,32.18,0.01,0,0.02,0.36,0.01,0.01,0,0,0,0,0,0,0
2022,75.13,24.21,0.01,0,0.01,0.61,0.02,0,0,0,0,0,0,0,0
2023,83.41,16.1,0.01,0,0.04,0.37,0.02,0.01,0.01,0,0,0.01,0,0,0
2009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
