"Date","Windows","OS X","Unknown","Linux","iOS","Android","Chrome OS","Other"
2009,96.23,3.16,0.25,0.35,0,0,0,0
2010,95.45,3.87,0.13,0.37,0.17,0,0,0
2011,93.02,5,0.15,0.46,1.15,0.21,0,0
2012,91.25,5.8,0.12,0.49,1.94,0.36,0,0.03
2013,92.15,6.78,0.05,0.62,0,0.4,0.01,0
2014,90.95,7.52,0.69,0.68,0,0.14,0.03,0
2015,88.95,8.62,1.45,0.91,0,0,0.06,0.01
2016,87.1,8.48,3.13,1.21,0,0,0.08,0.01
2017,85.17,9.18,1.92,3.65,0,0,0.07,0.01
2018,84.92,11.48,2.42,1.08,0,0,0.08,0.01
2019,82.14,14.26,2.61,0.92,0,0,0.06,0
2020,82.59,15.52,1.21,0.62,0,0,0.06,0
2021,79.47,15.24,3.81,1.32,0,0,0.16,0
2022,78.85,15.37,4.38,1.22,0,0,0.18,0
2023,80.11,11.21,6.99,1.47,0,0,0.21,0
