"Date","iOS","Android","Windows","Samsung","BlackBerry OS","SymbianOS","Linux","Unknown","Series 40","Playstation","MeeGo","Nokia Unknown","Nintendo 3DS","Other"
2012,73.86,23.16,1.07,0.04,0.24,0.89,0.13,0.03,0.16,0.04,0.16,0,0.09,0.13
2013,71.81,25.69,1.49,0.03,0.23,0.3,0.09,0.04,0.12,0.02,0.07,0,0.05,0.05
2014,62.01,36.12,1.46,0.01,0.18,0.04,0.04,0.03,0.05,0.02,0.01,0,0.01,0.02
2015,62.9,34.64,1.92,0.03,0.23,0.03,0.09,0.03,0.03,0.02,0,0.03,0.01,0.03
2016,66.09,32.12,1.37,0.16,0.14,0.01,0.02,0.03,0.01,0.01,0,0.02,0,0.01
2017,61.5,37.26,0.83,0.23,0.08,0,0.01,0.06,0,0.01,0,0.01,0,0
2018,63.14,36.12,0.37,0.23,0.04,0,0.01,0.07,0,0.01,0,0.01,0.01,0.01
2019,55.83,43.7,0.14,0.27,0.03,0,0.01,0.01,0,0,0,0,0,0
2020,52.76,46.87,0.04,0.28,0.01,0,0,0.02,0,0,0,0,0,0
2021,56.27,43.01,0.01,0.68,0.01,0,0,0.01,0,0,0,0,0,0
2022,56.59,42.6,0.02,0.78,0.01,0,0,0,0,0,0,0,0,0
2023,57.53,41.64,0.03,0.75,0.01,0,0.01,0,0,0,0,0,0,0
2009,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,0,0,0,0,0,0,0,0,0,0,0,0,0,0
