"Date","Windows","Linux","OS X","Unknown","FreeBSD","OpenBSD","Chrome OS","NetBSD","Other"
2012,100,0,0,0,0,0,0,0,0
2013,100,0,0,0,0,0,0,0,0
2015,77.95,12.12,9.5,0.31,0.06,0.02,0.03,0,0.01
2016,79.78,15.54,3.91,0.24,0.28,0.21,0,0.04,0
2017,94.75,2.13,2.34,0.5,0,0.14,0.14,0,0
2018,85.56,10,4.07,0.37,0,0,0,0,0
2019,74.69,5.31,18.37,1.63,0,0,0,0,0
2020,98.46,0.93,0.15,0.46,0,0,0,0,0
2021,91.77,1.65,4.53,2.06,0,0,0,0,0
2022,87.23,0,12.77,0,0,0,0,0,0
2023,94,0,2,4,0,0,0,0,0
2009,0,0,0,0,0,0,0,0,0
2010,0,0,0,0,0,0,0,0,0
2011,0,0,0,0,0,0,0,0,0
2014,0,0,0,0,0,0,0,0,0
