"Date","Windows","OS X","Unknown","Linux","iOS","Android","Chrome OS","Other"
2009,93.31,5.94,0.42,0.29,0,0,0,0.03
2010,90.87,8.36,0.19,0.28,0.28,0,0,0.02
2011,85.22,11.66,0.12,0.33,2.37,0.26,0,0.04
2012,82.03,13.09,0.05,0.4,3.86,0.51,0,0.05
2013,82.86,14.99,0.03,0.76,0,1.35,0.01,0
2014,81.14,16.9,0.55,1.02,0,0.26,0.11,0
2015,79.12,17.72,1.56,1.43,0,0,0.16,0.01
2016,76.56,17.94,4.15,1.2,0,0,0.14,0.01
2017,77.15,19.75,1.54,1.42,0,0,0.12,0.01
2018,74.53,18.57,5.36,1.41,0,0,0.12,0.02
2019,69.04,23.95,5.3,1.56,0,0,0.14,0.01
2020,68.93,26.65,1.95,2.3,0,0,0.17,0
2021,68.9,24.06,3.85,2.89,0,0,0.29,0.01
2022,69.94,23.5,3.1,2.98,0,0,0.47,0.01
2023,67.55,21.72,6.28,4,0,0,0.45,0
