"Date","Windows","OS X","Unknown","Linux","Android","iOS","Chrome OS","Other"
2009,99.06,0.55,0.04,0.35,0,0,0,0
2010,98.28,1.36,0.05,0.26,0,0.03,0,0.01
2011,96.56,2.43,0.06,0.31,0.06,0.56,0,0.01
2012,95.56,3.09,0.03,0.34,0.21,0.76,0,0.01
2013,94.91,3.33,0.02,0.73,1.01,0,0,0
2014,91.16,4.08,2.79,1.61,0.35,0,0.01,0
2015,86.15,5.96,6.16,1.7,0,0,0.02,0.01
2016,84.57,7.42,6.9,1.07,0,0,0.04,0.01
2017,87.1,10.26,1.77,0.81,0,0,0.05,0.01
2018,82,11.06,6.08,0.78,0,0,0.08,0.01
2019,80.48,11.11,7.41,0.94,0,0,0.05,0.01
2020,81.26,14.29,2.62,1.75,0,0,0.08,0
2021,77.98,15.33,4.17,2.4,0,0,0.11,0.01
2022,76.96,17.11,2.75,3.04,0,0,0.14,0.01
2023,73.84,18.83,3.86,3.32,0,0,0.15,0
