"Date","iOS","Android","Linux","Other"
2015,0,0,0,100
2016,73.02,20,6.51,0.47
2017,92.47,7.53,0,0
2018,79.02,20.91,0,0.07
2019,12.59,87.41,0,0
2020,66.85,33.15,0,0
2021,77.47,22.53,0,0
2022,78.51,21.49,0,0
2023,87.84,12.16,0,0
2009,0,0,0,0
2010,0,0,0,0
2011,0,0,0,0
2012,0,0,0,0
2013,0,0,0,0
2014,0,0,0,0
