"Date","Android","iOS","BlackBerry OS","Series 40","Unknown","Windows","SymbianOS","Nokia Unknown","Samsung","Tizen","Linux","LG","Sony Ericsson","Other"
2012,21.61,30.96,3.03,15.48,6.4,0.93,17.26,0,3.23,0,0.12,0.07,0.5,0.39
2013,17.28,12.62,31.37,19.87,7.08,1.29,7.34,0.16,2.33,0,0.07,0.29,0.19,0.12
2014,32.89,10.07,22.32,19.38,5.3,2.92,4.02,0.85,1.8,0,0.15,0.15,0.1,0.07
2015,54.67,8.43,13.96,11.76,1.53,3.08,1.8,3.17,0.8,0,0.7,0.06,0.03,0.04
2016,68.8,6.78,8.53,6.2,1.82,2.99,0.82,2.73,0.4,0.09,0.78,0.03,0.01,0.02
2017,73.36,11.14,3.78,2.66,3.49,2.01,0.36,1.35,0.19,1.39,0.2,0.04,0.01,0.01
2018,79.01,13.87,1.16,0.89,1.74,0.98,0.14,0.44,0.08,1.57,0.12,0.02,0,0.01
2019,81.59,16.17,0.39,0.33,0.11,0.32,0.04,0.16,0.05,0.72,0.09,0,0,0.02
2020,83.59,15.8,0.05,0.07,0.02,0.05,0.01,0.06,0.06,0.24,0.04,0,0,0.02
2021,83.58,15.99,0.02,0.06,0.01,0.01,0,0.04,0.15,0.09,0.02,0,0,0.01
2022,82.73,16.89,0.01,0.03,0.02,0.01,0,0.04,0.19,0.06,0.01,0,0,0.01
2023,81.69,17.96,0,0.03,0.02,0.01,0,0.03,0.18,0.05,0.01,0,0,0.01
2009,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,0,0,0,0,0,0,0,0,0,0,0,0,0,0
