"Date","Android","iOS","BlackBerry OS","Unknown","Series 40","Samsung","Windows","Firefox OS","Tizen","SymbianOS","Nokia Unknown","Linux","KaiOS","bada","Other"
2012,31.42,63.41,0.45,0.15,2.04,0.23,0.7,0,0,1.01,0,0.11,0,0.14,0.34
2013,38.8,55.49,0.35,0.14,3.33,0.13,0.96,0,0,0.44,0,0.15,0,0.08,0.13
2014,46.33,45.03,5.62,0.35,1.55,0.05,0.78,0,0,0.12,0.03,0.07,0,0.02,0.06
2015,52.84,45.29,0.36,0.46,0.07,0.02,0.64,0,0,0.06,0.14,0.09,0,0,0.03
2016,51.49,44.74,1.72,1.14,0.03,0.05,0.42,0,0,0.03,0.22,0.12,0,0,0.02
2017,57.81,30.6,6.13,3.89,0.04,0.11,0.18,0.85,0.18,0.03,0.13,0.04,0,0,0.02
2018,77.75,14.84,0.57,4.77,0.06,0.09,0.13,1.06,0.43,0.05,0.04,0.01,0.18,0,0.02
2019,56.68,42.48,0.22,0.16,0.01,0.39,0.03,0,0,0,0.01,0.01,0,0,0
2020,62.22,36.93,0.01,0.06,0,0.75,0.02,0,0,0.01,0,0.01,0,0,0
2021,68.35,30.67,0,0.02,0,0.95,0.01,0,0,0,0,0,0,0,0
2022,73.99,25.29,0,0.01,0,0.71,0,0,0,0,0,0,0,0,0
2023,70.34,28.69,0,0.01,0,0.94,0.01,0,0,0,0,0.01,0,0,0
2009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
