"Date","Windows","Unknown","OS X","Linux","Chrome OS","iOS","Android","Other"
2009,98.73,0.08,0.57,0.62,0,0,0,0.01
2010,98.46,0.09,0.88,0.55,0,0.02,0,0.01
2011,97.58,0.05,1.36,0.8,0,0.17,0.03,0.01
2012,97.04,0.04,1.72,0.8,0,0.31,0.07,0.02
2013,97.05,0.05,2.12,0.72,0.01,0,0.06,0
2014,96.38,0.27,2.51,0.76,0.04,0,0.03,0
2015,93.13,2.61,3.05,1.1,0.1,0,0,0.01
2016,83.15,11.35,4.18,1.19,0.14,0,0,0
2017,84.08,7.96,6.1,1.65,0.19,0,0,0.02
2018,81.9,9.44,7.07,1.47,0.12,0,0,0
2019,76.23,15.16,7.26,1.24,0.12,0,0,0
2020,78.3,12.55,7.21,1.76,0.18,0,0,0
2021,62.78,30.75,3.48,2.76,0.23,0,0,0
2022,56.73,37.77,3.03,2.08,0.38,0,0,0.01
2023,49.27,45.7,2.6,1.87,0.51,0,0,0.05
