"Date","iOS","Android","Windows","Samsung","BlackBerry OS","Unknown","SymbianOS","Linux","Series 40","Other"
2012,75.81,22.66,0.44,0,0.31,0.02,0.54,0.02,0.02,0.18
2013,74.09,24.39,1.11,0,0.08,0.02,0.16,0.03,0.05,0.05
2014,64.46,33.83,1.55,0,0.05,0.05,0.01,0.02,0,0.02
2015,60.38,38.26,1.05,0.06,0.21,0,0.01,0.03,0,0
2016,70.3,28.72,0.76,0.12,0.05,0.01,0.01,0,0,0.02
2017,65.56,33.26,0.81,0.28,0.02,0.01,0,0.01,0,0.05
2018,65.95,33.44,0.23,0.33,0.01,0.04,0,0,0,0.01
2019,60.71,37.96,0.08,0.51,0,0.72,0,0,0,0
2020,54.31,45.35,0.03,0.29,0.01,0,0,0,0,0
2021,57.62,41.99,0,0.37,0.01,0,0,0,0,0
2022,64.58,35.11,0.01,0.31,0,0,0,0,0,0
2023,49.88,47.47,0.93,0.39,0.36,0.11,0.18,0.26,0.08,0.35
2009,0,0,0,0,0,0,0,0,0,0
2010,0,0,0,0,0,0,0,0,0,0
2011,0,0,0,0,0,0,0,0,0,0
