"Date","Android","iOS","Windows","Series 40","SymbianOS","Samsung","Unknown","Nokia Unknown","BlackBerry OS","Linux","bada","Sony Ericsson","Other"
2012,51.26,30.44,2.55,4.33,7.97,0.38,0.91,0,0.5,0.36,0.4,0.4,0.5
2013,57.47,29.67,3.05,3.21,4.15,0.29,0.76,0.01,0.37,0.28,0.24,0.21,0.3
2014,71.38,21.7,3.18,1.43,1.15,0.15,0.29,0.05,0.2,0.16,0.08,0.08,0.15
2015,79.08,15.5,3.41,0.72,0.42,0.09,0.14,0.25,0.13,0.16,0.04,0.02,0.05
2016,82.11,13.82,2.81,0.31,0.14,0.2,0.11,0.23,0.1,0.1,0.02,0.01,0.02
2017,83.57,14.23,1.56,0.1,0.05,0.18,0.13,0.09,0.06,0.02,0.01,0,0.01
2018,83.75,15,0.77,0.04,0.02,0.22,0.08,0.04,0.04,0.02,0,0,0.01
2019,85.14,14.15,0.36,0.02,0.01,0.21,0.02,0.03,0.01,0.03,0,0,0.01
2020,86.11,13.49,0.09,0,0,0.24,0.02,0.02,0.01,0.01,0,0,0
2021,84.11,15.57,0.02,0,0,0.25,0.03,0.01,0,0,0,0,0
2022,84.58,15.15,0.01,0,0,0.23,0.01,0,0,0,0,0,0
2023,82.99,16.67,0.01,0,0,0.29,0.02,0,0,0.01,0,0,0
2009,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,0,0,0,0,0,0,0,0,0,0,0,0,0
