"Date","Android","iOS","Series 40","Unknown","SymbianOS","Samsung","Nokia Unknown","Windows","BlackBerry OS","Linux","KaiOS","Sony Ericsson","Tizen","bada","LG","Firefox OS","MeeGo","Other"
2012,24.97,13.86,22.09,6.56,17.38,10.48,0,0.83,1.13,0.09,0,1.35,0,0.95,0.06,0,0.03,0.22
2013,38.02,15.44,18.87,5.54,9.92,7.24,0.19,1.01,1.04,1.22,0,0.76,0,0.45,0.17,0,0.02,0.11
2014,53.77,15.25,11.77,4.86,4.33,4.57,1.12,1.77,1,0.75,0,0.36,0,0.23,0.17,0,0.01,0.04
2015,66.92,14.06,5.08,4.42,1.65,1.57,3.03,1.67,0.9,0.26,0,0.14,0.07,0.08,0.08,0,0.05,0.02
2016,72.4,13.64,2.15,4.83,0.69,0.91,3,1.22,0.47,0.26,0,0.08,0.18,0.03,0.05,0,0.06,0.01
2017,77.56,12.97,0.72,4.96,0.26,0.46,1.59,0.63,0.23,0.07,0,0.03,0.33,0.01,0.04,0.1,0.03,0.01
2018,82,12.91,0.35,2.53,0.14,0.34,0.28,0.34,0.09,0.05,0.5,0.01,0.22,0.01,0.02,0.19,0.01,0.01
2019,83.05,14.56,0.13,0.22,0.04,0.24,0.15,0.14,0.02,0.03,1.28,0,0.11,0,0,0,0,0
2020,82.1,17.11,0.03,0.1,0.01,0.23,0.04,0.04,0.01,0.01,0.3,0,0.03,0,0,0,0,0
2021,81.59,17.58,0.02,0.09,0,0.37,0.03,0.01,0,0.01,0.29,0,0.01,0,0,0,0,0
2022,81.2,18.16,0.01,0.06,0,0.36,0.02,0.01,0,0,0.18,0,0,0,0,0,0,0
2023,78.94,20.36,0.01,0.06,0,0.38,0.01,0.01,0,0.01,0.23,0,0,0,0,0,0,0
2009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
