"Date","Android","iOS","Windows","Series 40","Unknown","SymbianOS","Samsung","Nokia Unknown","BlackBerry OS","bada","Linux","Sony Ericsson","LG","Other"
2012,31.69,30.52,1.75,10.52,8.87,12.25,1.76,0,0.47,0.57,0.28,0.93,0.2,0.2
2013,42.77,29.73,1.79,8.94,6.48,6.19,1.9,0.04,0.4,0.43,0.35,0.58,0.26,0.14
2014,54.9,34.13,3.33,3,1.61,1.4,0.59,0.07,0.37,0.23,0.13,0.1,0.09,0.07
2015,68.92,20.85,4.06,2.21,1.13,0.82,0.56,0.56,0.29,0.19,0.21,0.06,0.06,0.06
2016,72.53,20.18,3.63,1.12,0.63,0.38,0.36,0.54,0.28,0.12,0.12,0.04,0.04,0.03
2017,79.41,17.56,1.75,0.31,0.22,0.17,0.22,0.15,0.08,0.05,0.05,0.01,0.01,0.02
2018,83.25,15.41,0.73,0.09,0.12,0.05,0.15,0.05,0.09,0.03,0.01,0,0,0.02
2019,88.38,11.13,0.18,0.02,0.09,0.01,0.13,0.01,0.02,0,0.02,0,0,0.01
2020,84.74,14.75,0.16,0,0.04,0.01,0.24,0,0.02,0,0.02,0,0,0
2021,81.27,18.36,0.02,0,0.01,0,0.32,0,0.01,0,0,0,0,0.01
2022,79.14,20.57,0.01,0,0.01,0,0.26,0,0,0,0,0,0,0
2023,73.59,26.06,0.03,0.01,0.01,0,0.27,0,0.01,0,0.01,0,0,0.01
2009,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,0,0,0,0,0,0,0,0,0,0,0,0,0,0
