"Date","iOS","Android","Windows","Samsung","BlackBerry OS","Linux","Firefox OS","Other"
2013,87.5,12.5,0,0,0,0,0,0
2014,100,0,0,0,0,0,0,0
2015,56.25,40.07,2.94,0,0,0.74,0,0
2016,29.63,51.39,2.31,0,2.31,6.48,7.41,0.46
2017,46.31,43.24,9.63,0,0.82,0,0,0
2018,63.01,35.69,0.84,0,0.43,0.03,0,0
2019,61.83,37.46,0.6,0.05,0,0.05,0,0.01
2020,49.96,48.82,1.13,0.02,0,0.02,0,0.05
2021,51.92,47.74,0,0.34,0,0,0,0
2022,60.74,38.9,0,0.37,0,0,0,0
2023,52.81,46.96,0,0.19,0,0.04,0,0
2009,0,0,0,0,0,0,0,0
2010,0,0,0,0,0,0,0,0
2011,0,0,0,0,0,0,0,0
2012,0,0,0,0,0,0,0,0
