"Date","Android","iOS","Unknown","SymbianOS","Series 40","Windows","Nokia Unknown","BlackBerry OS","Linux","Samsung","LG","Sony Ericsson","Playstation","Other"
2012,22.61,27.4,1.28,36.61,7.55,0.17,0,3.28,0.05,0.5,0.01,0.33,0.02,0.21
2013,39.85,28.2,1.32,20.9,4.91,0.91,0.07,2.43,0.79,0.3,0.08,0.11,0,0.11
2014,60.01,22.87,1.65,9.31,1.97,1.57,0.54,1.35,0.31,0.15,0.12,0.04,0.07,0.04
2015,71.7,18.06,3.31,2.21,0.55,1.34,1.37,0.56,0.72,0.04,0.11,0,0.02,0.01
2016,73.93,16.95,5.55,0.41,0.11,0.81,1.32,0.21,0.58,0.02,0.08,0,0.01,0.02
2017,67.81,19.07,11.12,0.12,0.04,0.36,1.15,0.1,0.03,0.04,0.13,0,0.01,0.03
2018,73.02,17.1,9.37,0.08,0.04,0.14,0.02,0.03,0.01,0.06,0.1,0,0.01,0.01
2019,80.72,18.99,0.11,0,0.02,0.06,0.01,0.02,0.01,0.06,0,0,0,0.01
2020,77.94,21.89,0.04,0,0,0.01,0.01,0.03,0,0.07,0,0,0,0
2021,76.17,23.65,0.03,0,0,0,0,0,0,0.14,0,0,0,0
2022,76.42,23.34,0.02,0,0,0,0,0,0,0.21,0,0,0,0
2023,76.05,23.81,0.01,0,0,0,0,0,0,0.13,0,0,0,0
2009,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,0,0,0,0,0,0,0,0,0,0,0,0,0,0
