"Date","Windows","OS X","Linux","Unknown","iOS","Chrome OS","Android","Playstation","Other"
2009,96.44,2.61,0.58,0.2,0,0,0,0.16,0.01
2010,95.45,3.61,0.56,0.1,0.09,0,0,0.18,0.01
2011,93.84,4.66,0.57,0.06,0.61,0,0.05,0.2,0.01
2012,92.16,5.7,0.64,0.04,1.21,0,0.13,0.1,0.01
2013,92.16,6.77,0.76,0.03,0,0.01,0.26,0,0
2014,89.85,7.91,1.71,0.36,0,0.07,0.11,0,0
2015,84.23,9.65,5.12,0.87,0,0.13,0,0,0
2016,83.36,11.72,2.87,1.88,0,0.16,0,0,0
2017,80.78,13.68,4.28,1.04,0,0.22,0,0,0
2018,75.95,18.7,1.75,3.36,0,0.24,0,0,0
2019,72.62,23.16,1.15,2.86,0,0.21,0,0,0
2020,75.64,21.45,1.4,1.25,0,0.26,0,0,0
2021,80.61,15.6,1.59,1.9,0,0.3,0,0,0
2022,81.27,14.8,1.98,1.51,0,0.45,0,0,0
2023,77.72,14.26,3.47,3.91,0,0.63,0,0,0.01
