"Date","Android","iOS","Unknown","SymbianOS","BlackBerry OS","Nokia Unknown","Series 40","Windows","Linux","LG","Samsung","Playstation","Other"
2012,32.11,27.13,0.22,30.36,8.45,0,1.27,0.1,0.07,0,0.1,0.01,0.18
2013,42.76,33.41,0.48,12.98,7.94,0.01,1.19,0.41,0.64,0.01,0.08,0,0.09
2014,57.05,31.11,1.03,5.3,3.93,0.16,0.58,0.53,0.2,0.02,0.03,0.03,0.03
2015,66.46,25.67,3.39,1.46,1.16,1.05,0.18,0.4,0.15,0.04,0.01,0.02,0.01
2016,65.12,27.58,5.08,0.31,0.3,0.97,0.03,0.26,0.25,0.06,0.02,0.02,0.01
2017,58.19,26.93,12.92,0.13,0.11,1.06,0.12,0.14,0.12,0.24,0.03,0.01,0.01
2018,59.73,30.45,9.18,0.07,0.04,0.13,0.09,0.06,0.01,0.19,0.04,0,0
2019,70.4,29.33,0.14,0.01,0.01,0.01,0.01,0.03,0,0,0.04,0,0
2020,61.25,38.63,0.02,0,0,0,0,0,0,0,0.07,0,0
2021,53.52,46.32,0.02,0,0,0,0,0,0.01,0,0.12,0,0
2022,53.64,46.23,0.01,0,0,0,0,0,0,0,0.11,0,0
2023,60.7,39.21,0,0,0,0,0,0,0,0,0.08,0,0
2009,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,0,0,0,0,0,0,0,0,0,0,0,0,0
