"Date","Android","iOS","Windows","Playstation","Unknown","Nokia Unknown","Linux","Samsung","Other"
2012,16.82,80.91,0,0,0,0,0,0,2.27
2013,16.57,71.6,0,0,5.52,0,5.72,0,0.59
2014,48.56,47.87,2.47,0.07,0.34,0,0,0.55,0.14
2015,49.14,47.13,2.08,0.74,0.04,0.81,0,0,0.07
2016,73.85,21.43,2.29,1.17,0.21,0.79,0,0,0.25
2017,75.67,23.63,0.43,0,0.16,0,0,0,0.11
2018,89.72,10.13,0.05,0,0.03,0,0.02,0,0.06
2019,93.65,6.35,0,0,0,0,0,0,0
2020,98.04,1.79,0.15,0,0,0,0.01,0,0
2021,96.03,3.84,0,0,0.01,0,0,0.1,0.03
2022,95.07,4.92,0,0,0,0,0,0.01,0
2023,90.66,9.33,0.01,0,0,0,0,0,0
2009,0,0,0,0,0,0,0,0,0
2010,0,0,0,0,0,0,0,0,0
2011,0,0,0,0,0,0,0,0,0
