"Date","Windows","OS X","Unknown","Linux","Chrome OS","iOS","Android","Other"
2009,96.72,1.72,0.1,1.47,0,0,0,0
2010,97.25,1.75,0.07,0.88,0,0.03,0,0.03
2011,96.04,2.9,0.05,0.74,0,0.23,0.01,0.03
2012,95.2,3.16,0.05,1.04,0,0.47,0.07,0.02
2013,96.02,3.16,0.03,0.66,0.04,0,0.09,0
2014,94.51,3.24,1.1,0.96,0.16,0,0.04,0
2015,87.7,6.7,3.93,1.52,0.15,0,0,0
2016,79.72,10.16,8.98,0.99,0.15,0,0,0
2017,80.15,13.65,5.03,0.97,0.19,0,0,0
2018,76.83,16.76,5.25,0.99,0.18,0,0,0
2019,75.14,18.98,4.93,0.77,0.19,0,0,0
2020,73.34,20.28,5.22,0.86,0.3,0,0,0
2021,79.66,7.83,10.77,1.21,0.53,0,0,0
2022,85.01,6.16,7.07,1.22,0.53,0,0,0
2023,79.87,5.43,8.69,1.07,4.94,0,0,0
