"Date","Windows","OS X","Linux","Unknown","iOS","Chrome OS","Android","Playstation","Other"
2009,94.6,4.02,1.06,0.15,0,0,0,0.14,0.02
2010,92.86,5.54,1.19,0.09,0.12,0,0,0.17,0.02
2011,91.3,6.46,1.21,0.07,0.72,0,0.04,0.17,0.02
2012,89.85,7.25,1.33,0.05,1.26,0,0.15,0.07,0.03
2013,90.08,7.97,1.55,0.05,0,0.01,0.33,0,0
2014,88.35,9.07,1.81,0.52,0,0.13,0.12,0,0.01
2015,86.26,10.12,2.18,1.21,0,0.21,0,0,0.01
2016,83.88,11.01,2.04,2.79,0,0.27,0,0,0.01
2017,83.07,12.83,2.17,1.48,0,0.45,0,0,0.01
2018,80.32,13.62,2.03,3.47,0,0.55,0,0,0.01
2019,78.01,15.34,2.04,3.87,0,0.73,0,0,0.01
2020,76.85,18.56,2.05,1.6,0,0.93,0,0,0.01
2021,77.02,16.24,2.64,2.68,0,1.41,0,0,0.01
2022,77.88,15.37,2.39,2.32,0,2.03,0,0,0.01
2023,75.15,15.26,2.55,4.78,0,2.25,0,0,0.01
