"Date","Android","iOS","Windows","Series 40","Samsung","SymbianOS","Unknown","Nokia Unknown","BlackBerry OS","LG","bada","Linux","Sony Ericsson","Firefox OS","Other"
2012,40.14,34.46,1.3,9.25,1.77,7.71,2.52,0,0.68,0.12,0.74,0.28,0.73,0,0.31
2013,47.78,30.92,1.89,8.2,2.06,4.43,2.18,0.05,0.68,0.49,0.54,0.21,0.45,0,0.12
2014,61.96,25.16,3.47,4.32,0.96,1.55,0.9,0.15,0.58,0.32,0.24,0.14,0.17,0,0.06
2015,69.28,21.79,3.53,1.95,0.49,0.65,0.58,0.59,0.68,0.13,0.1,0.15,0.05,0.02,0.02
2016,74.85,18.17,3.5,0.96,0.58,0.22,0.32,0.65,0.3,0.08,0.06,0.09,0.02,0.18,0.01
2017,78.39,18.13,2.03,0.29,0.31,0.07,0.17,0.29,0.15,0.02,0.01,0.02,0.01,0.1,0.01
2018,78.7,19.58,0.86,0.1,0.3,0.04,0.1,0.17,0.06,0.01,0,0.03,0,0.03,0
2019,80.3,18.82,0.29,0.03,0.35,0,0.02,0.12,0.03,0,0,0.02,0,0.01,0
2020,80.94,18.55,0.07,0.01,0.34,0,0.01,0.05,0.01,0,0,0.01,0,0,0
2021,79.79,19.66,0.02,0.01,0.39,0,0.01,0.08,0,0,0,0.03,0,0,0
2022,77.35,22.33,0.01,0,0.28,0,0.01,0.02,0,0,0,0,0,0,0
2023,74.71,24.85,0.01,0.01,0.39,0,0.01,0.02,0,0,0,0.01,0,0,0
2009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
