"Date","Android","iOS","Series 40","Unknown","SymbianOS","Samsung","LG","Nokia Unknown","Linux","Windows","BlackBerry OS","Sony Ericsson","bada","Playstation","MeeGo","Other"
2012,8.48,12.78,33.91,9.49,25.64,5.75,0.25,0,0.03,0.67,1.21,0.8,0.79,0.02,0.05,0.14
2013,14.98,11.09,35.01,10.8,15.53,5.9,2.78,0.03,0.16,0.36,2.11,0.71,0.38,0.03,0.08,0.04
2014,38.12,12.66,25.34,7.04,5.05,4.53,4.22,0.31,0.19,0.74,0.93,0.34,0.28,0.05,0.16,0.04
2015,66.26,7.62,9.44,5.94,1.61,1.86,2.06,2.1,1.5,0.79,0.55,0.05,0.12,0.06,0.03,0.01
2016,80.47,6.21,3.52,3.42,0.47,1.08,1.3,1.72,0.86,0.6,0.17,0.03,0.05,0.04,0.01,0.06
2017,86.9,8.86,0.67,1.81,0.12,0.22,0.17,0.48,0.31,0.35,0.05,0,0.01,0.02,0,0.02
2018,90.98,5.85,0.13,2.27,0.11,0.1,0.04,0.06,0.24,0.19,0.01,0,0,0,0,0
2019,89.93,8.28,0.05,1.08,0.02,0.1,0.11,0.12,0.18,0.11,0.01,0,0,0,0,0
2020,89.33,10.25,0.01,0.15,0,0.07,0.01,0.05,0.05,0.04,0.03,0,0,0.01,0,0
2021,87.09,12.7,0,0.04,0,0.12,0,0.01,0.01,0,0,0,0,0,0,0
2022,78.84,20.95,0,0.05,0,0.14,0,0,0.01,0,0,0,0,0,0,0
2023,72.17,27.66,0,0.03,0,0.11,0,0.01,0.01,0,0,0,0,0,0,0
2009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
