"Date","Windows","OS X","Unknown","Linux","iOS","Android","Chrome OS","Other"
2009,95.16,3.02,0.42,1.32,0,0,0,0.08
2010,95.67,3.34,0.1,0.77,0.09,0,0,0.04
2011,93.89,4.19,0.06,0.99,0.68,0.13,0,0.06
2012,92.45,4.9,0.05,1.12,1.18,0.23,0,0.06
2013,93.56,5.27,0.03,0.8,0,0.33,0,0.01
2014,92.9,5.82,0.3,0.86,0,0.1,0.02,0
2015,89.71,5.83,2.96,1.45,0,0,0.05,0
2016,83.02,6.6,9.36,0.99,0,0,0.03,0
2017,83.93,8.35,6.55,1.14,0,0,0.04,0
2018,79.93,9.98,9.16,0.83,0,0,0.1,0
2019,77.85,11.26,10.16,0.67,0,0,0.05,0.02
2020,78.53,12.44,8.37,0.58,0,0,0.06,0.01
2021,77.15,7.45,14.2,0.74,0,0,0.43,0.03
2022,81.67,5.61,11.63,0.76,0,0,0.28,0.05
2023,76.69,4.82,17,1.17,0,0,0.26,0.06
