"Date","Android","iOS","Unknown","Windows","Nokia Unknown","Series 40","Samsung","SymbianOS","Linux","BlackBerry OS","Playstation","Other"
2012,38.04,52.61,0.69,0.24,0,5.81,0.14,0.79,0.29,0.16,0.26,0.96
2013,43.65,43.75,0.07,0.77,0,3.47,2.93,2.69,0.66,1.74,0.07,0.2
2014,58.62,33.54,0.38,2.65,0.08,1.55,0.28,0.5,1.29,0.88,0.11,0.13
2015,67.91,22.58,1.25,2.27,1.75,2.34,0.34,0.33,0.87,0.15,0.1,0.1
2016,76.59,17.55,1.48,1.15,1.74,0.27,0.17,0.8,0.09,0.03,0.09,0.04
2017,79.86,17.79,1.33,0.41,0.37,0.03,0.07,0.01,0.07,0.01,0.05,0
2018,81.67,17.73,0.19,0.09,0,0.01,0.26,0.01,0.01,0.03,0.01,0
2019,79.96,19.97,0,0.03,0,0,0,0,0.02,0,0.01,0
2020,78.35,21.3,0.34,0,0,0,0.01,0,0,0,0,0
2021,75.4,24.35,0.03,0,0,0,0.19,0,0.01,0,0.02,0
2022,66.9,32.81,0.01,0.01,0,0,0.28,0,0,0,0,0
2023,67.24,31.9,0.01,0.01,0,0,0.83,0,0,0,0.01,0
2009,0,0,0,0,0,0,0,0,0,0,0,0
2010,0,0,0,0,0,0,0,0,0,0,0,0
2011,0,0,0,0,0,0,0,0,0,0,0,0
