"Date","Android","iOS","Series 40","Windows","SymbianOS","Nokia Unknown","Samsung","Unknown","BlackBerry OS","Firefox OS","bada","LG","Sony Ericsson","Linux","Playstation","MeeGo","Other"
2012,19.99,30.05,19.27,0.74,13.83,0,8.29,3.97,1.53,0,0.74,0.12,1.16,0.08,0.11,0.04,0.09
2013,30.52,27.98,20.46,1.01,7.56,0.08,4.78,4.05,1.58,0,0.66,0.55,0.53,0.11,0.04,0.06,0.03
2014,51.37,26.57,11.71,2.05,2.12,0.39,2.28,1.52,0.86,0,0.37,0.4,0.17,0.12,0.03,0.04,0.01
2015,64.47,16.57,7,3.51,1.5,2.85,1.56,0.82,0.68,0.3,0.27,0.2,0.08,0.16,0.02,0.02,0.01
2016,75.03,9.14,4.44,3.24,1.02,3.61,1.39,0.65,0.29,0.55,0.19,0.19,0.09,0.13,0.02,0.01,0
2017,84.35,7.37,1.87,2.22,0.44,1.87,0.71,0.44,0.16,0.28,0.07,0.11,0.03,0.06,0.02,0,0
2018,89.49,7.45,0.51,1,0.14,0.65,0.26,0.24,0.06,0.09,0.02,0.04,0.02,0.02,0.01,0,0
2019,89.92,8.43,0.27,0.5,0.05,0.41,0.15,0.11,0.05,0.06,0.01,0.01,0,0.02,0,0,0
2020,92.49,7.02,0.04,0.12,0.01,0.08,0.13,0.06,0.02,0.01,0,0,0,0.01,0,0,0
2021,93.87,5.85,0.03,0.03,0,0.03,0.15,0.02,0,0,0,0,0,0.01,0,0,0
2022,91.18,8.51,0.03,0.02,0,0.04,0.19,0.02,0,0,0,0,0,0,0,0,0
2023,89.4,10.37,0.03,0.01,0,0.02,0.12,0.02,0,0,0,0,0,0,0.02,0,0
2009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
