"Date","Android","iOS","Windows","Samsung","SymbianOS","BlackBerry OS","Series 40","Unknown","Linux","bada","Playstation","Nokia Unknown","Other"
2012,33.46,57.01,2.37,0.64,3.22,0.5,1.09,0.41,0.2,0.65,0.13,0,0.31
2013,42.2,49.56,3.93,0.35,1.47,0.36,0.97,0.33,0.27,0.34,0.05,0,0.17
2014,55.91,38.64,4.36,0.05,0.22,0.24,0.24,0.07,0.13,0.06,0.03,0.01,0.03
2015,55.78,37.48,5.53,0.07,0.17,0.39,0.16,0.09,0.17,0.03,0.05,0.06,0.03
2016,61.51,32.82,4.71,0.28,0.05,0.23,0.06,0.13,0.07,0.01,0.03,0.07,0.02
2017,64.99,31.65,2.69,0.3,0.02,0.08,0.02,0.16,0.03,0,0.01,0.03,0.01
2018,70.39,27.92,1.22,0.3,0.01,0.03,0.02,0.06,0.02,0,0.01,0.01,0.01
2019,70.72,28.43,0.49,0.29,0,0.01,0.01,0.01,0.01,0,0,0.01,0.01
2020,73.12,26.55,0.06,0.24,0,0.01,0,0.01,0.01,0,0,0,0
2021,74.24,24.47,0.02,1.25,0,0,0,0.01,0,0,0,0,0
2022,69.69,29.84,0.01,0.43,0,0,0,0.01,0,0,0,0,0
2023,67.51,32.03,0.02,0.41,0,0,0,0.01,0.01,0,0,0,0
2009,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,0,0,0,0,0,0,0,0,0,0,0,0,0
