"Date","Android","iOS","Windows","Samsung","Series 40","Unknown","BlackBerry OS","SymbianOS","Playstation","Linux","LG","Nintendo 3DS","Sony Ericsson","Nokia Unknown","Other"
2012,53.9,35.96,1.45,0.7,2.08,1.72,0.96,2.33,0.12,0.18,0,0.12,0.22,0,0.26
2013,61.15,30.5,2.86,0.44,1.49,1.19,0.63,0.95,0.06,0.14,0.26,0.14,0.1,0,0.1
2014,75.18,20.46,2.94,0.13,0.4,0.2,0.25,0.14,0.08,0.06,0.1,0.01,0.02,0.01,0.02
2015,74.78,21.79,2.38,0.05,0.24,0.09,0.22,0.07,0.13,0.11,0.05,0.01,0,0.05,0.02
2016,77.41,20.79,1.24,0.08,0.09,0.04,0.13,0.02,0.07,0.07,0.02,0,0.01,0.03,0.01
2017,81.25,17.9,0.43,0.22,0.03,0.03,0.04,0.01,0.04,0.03,0.01,0,0,0.01,0
2018,81.17,18.12,0.16,0.44,0.01,0.03,0.01,0,0.02,0.01,0,0.01,0,0,0
2019,82.58,16.91,0.07,0.38,0,0.01,0.01,0,0.01,0.01,0,0,0,0,0
2020,84.87,14.79,0.01,0.3,0,0.02,0,0,0.01,0,0,0,0,0,0
2021,85.52,14.26,0,0.2,0,0.01,0,0,0,0,0,0,0,0,0
2022,82.65,17.01,0.01,0.31,0,0.02,0,0,0,0,0,0,0,0,0
2023,78.22,21.34,0.02,0.39,0,0.02,0,0,0,0,0,0,0,0,0.01
2009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
