"Date","Android","iOS","Windows","BlackBerry OS","Unknown","Linux","Samsung","Series 40","LG","Playstation","Nintendo 3DS","Nokia Unknown","SymbianOS","webOS","Other"
2012,33.96,50.74,0.83,2.56,2.66,0.18,1.97,1.98,0.27,0.31,2.23,0,1.42,0.43,0.48
2013,40.99,46.05,1.4,1.68,2.11,2.44,1.1,1.13,0.82,0.26,1.05,0,0.51,0.15,0.31
2014,51.45,40.21,1.85,1.14,1.21,1.98,0.39,0.53,0.79,0.2,0.04,0.01,0.11,0.02,0.08
2015,63.59,28.21,2.6,1.79,0.92,1.42,0.17,0.49,0.22,0.22,0.01,0.27,0.05,0.01,0.03
2016,72.59,21.66,2.88,0.88,0.95,0.24,0.14,0.12,0.12,0.15,0.01,0.23,0.02,0,0.01
2017,78.87,18.98,1.45,0.07,0.31,0.05,0.09,0.01,0.01,0.09,0.01,0.05,0.01,0,0
2018,74.23,23.96,1.1,0.04,0.09,0.04,0.27,0.06,0.1,0.1,0.01,0,0,0,0
2019,74.26,24.85,0.56,0.01,0.03,0.02,0.24,0,0,0.03,0,0,0,0,0.01
2020,77.52,22.08,0.17,0.01,0,0.01,0.19,0,0,0.02,0,0,0,0,0.01
2021,72.54,26.94,0.02,0,0,0.01,0.48,0,0,0.01,0,0,0,0,0
2022,50.05,49.67,0.01,0,0,0,0.27,0,0,0,0,0,0,0,0
2023,54.01,45.13,0.23,0.08,0.03,0.06,0.33,0.02,0.01,0,0,0.01,0.03,0,0.05
2009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
