"Date","Android","iOS","Windows","Unknown","Samsung","Nokia Unknown","Series 40","BlackBerry OS","Linux","Other"
2012,65.34,33.28,0,0.31,0.15,0,0.31,0,0,0.61
2013,28.25,65.26,4,1.51,0,0,0.11,0.02,0.34,0.5
2014,59.21,29.41,6.52,1.68,0.06,0.01,1.94,0.54,0.49,0.12
2015,65.11,20.9,10.38,1.34,0,1.05,0.42,0.14,0.24,0.41
2016,80.07,13.35,5.48,0.38,0.02,0.24,0.06,0.3,0.03,0.05
2017,85.38,10.99,2.93,0.4,0.03,0.17,0,0.02,0.04,0.03
2018,89.83,8.69,1.03,0.14,0.24,0.01,0,0.06,0,0
2019,87.99,11.8,0.12,0.07,0.01,0,0,0,0.01,0.01
2020,90.44,9.49,0.04,0.02,0,0,0,0,0,0
2021,96.49,3.32,0.01,0.01,0.16,0,0,0,0.01,0
2022,95.7,4.03,0.02,0.01,0.23,0,0,0,0,0
2023,96.46,3.32,0,0.14,0.03,0,0,0,0.01,0.03
2009,0,0,0,0,0,0,0,0,0,0
2010,0,0,0,0,0,0,0,0,0,0
2011,0,0,0,0,0,0,0,0,0,0
