"Date","Windows","OS X","Linux","Unknown","iOS","Android","Chrome OS","Other"
2009,98.54,0.43,0.97,0.04,0,0,0,0.02
2010,98.47,0.45,1.01,0.03,0.01,0,0,0.02
2011,97.92,0.55,1.31,0.03,0.14,0.03,0,0.02
2012,97.47,0.87,1.15,0.02,0.35,0.11,0,0.03
2013,96.59,1.46,1.7,0.01,0,0.23,0,0
2014,95,2.47,2,0.41,0,0.1,0.02,0
2015,90.94,3.68,2.16,3.19,0,0,0.04,0
2016,85.82,5.05,2.24,6.85,0,0,0.05,0
2017,87.58,7.05,2.1,3.23,0,0,0.04,0
2018,85.11,8.37,2.15,4.32,0,0,0.05,0
2019,85.89,8.32,1.12,4.64,0,0,0.03,0
2020,86.63,10.23,1.59,1.48,0,0,0.07,0
2021,85.46,6.22,3.18,5.01,0,0,0.13,0
2022,85.89,5.09,3.7,5.17,0,0,0.14,0
2023,84.88,4.38,3.07,7.51,0,0,0.15,0
