"Date","Android","iOS","Windows","Series 40","SymbianOS","Unknown","Samsung","BlackBerry OS","Nokia Unknown","bada","Linux","Other"
2012,36.7,45.73,0.2,6.17,6.07,1.65,1.08,1.79,0,0.36,0.08,0.16
2013,42.38,46.24,2.45,4.01,2.13,1.18,0.4,0.89,0.03,0.16,0.05,0.07
2014,55.89,37.48,3.27,1.86,0.52,0.29,0.18,0.3,0.09,0.06,0.03,0.04
2015,66.34,30.58,1.74,0.41,0.12,0.38,0.05,0.05,0.26,0.01,0.04,0.01
2016,68.58,30.05,0.85,0.06,0.03,0.25,0.04,0.01,0.11,0,0.01,0
2017,78.25,21.16,0.33,0.01,0.01,0.15,0.05,0,0.03,0,0,0
2018,80.63,18.94,0.17,0.01,0,0.16,0.06,0,0.02,0,0,0
2019,74.35,25.41,0.11,0,0,0.05,0.06,0,0,0,0,0
2020,72.05,27.76,0.07,0,0,0.02,0.1,0,0,0,0,0
2021,70.92,28.86,0,0,0,0.01,0.2,0,0,0,0,0
2022,70.36,29.31,0,0,0,0.01,0.3,0,0,0,0,0
2023,64.75,34.8,0,0,0,0.01,0.43,0,0,0,0,0
2009,0,0,0,0,0,0,0,0,0,0,0,0
2010,0,0,0,0,0,0,0,0,0,0,0,0
2011,0,0,0,0,0,0,0,0,0,0,0,0
