"Date","Android","iOS","BlackBerry OS","Samsung","Windows","Linux","Unknown","Nintendo 3DS","Playstation","Other"
2013,29.96,45.35,14.4,0.15,0.14,6.35,0.09,0.16,0.11,3.3
2014,45.9,34.63,7.73,0,0.3,11.36,0.01,0,0.03,0.04
2015,59.25,35.29,3.02,0.01,1.06,0.83,0.02,0.37,0.11,0.04
2016,55.81,41.23,1.49,0.03,0.99,0.21,0.11,0.03,0.06,0.04
2017,58.71,40.16,0.41,0.07,0.5,0.02,0.07,0,0.01,0.04
2018,64.36,35.24,0.05,0.19,0.14,0.01,0.01,0,0,0
2019,64.16,35.65,0.02,0.12,0.05,0,0,0,0,0
2020,68.97,30.38,0.01,0.63,0.01,0,0,0,0,0
2021,63.87,35.06,0.01,1.04,0.01,0,0,0,0,0
2022,59.66,39.58,0.01,0.74,0.01,0,0,0,0,0
2023,55.86,43.42,0,0.55,0.15,0,0,0,0,0.01
2009,0,0,0,0,0,0,0,0,0,0
2010,0,0,0,0,0,0,0,0,0,0
2011,0,0,0,0,0,0,0,0,0,0
2012,0,0,0,0,0,0,0,0,0,0
