"Date","Windows","OS X","Unknown","Linux","Android","iOS","Chrome OS","Other"
2009,99.42,0.25,0.16,0.17,0,0,0,0
2010,99.07,0.49,0.15,0.26,0,0.03,0,0.01
2011,98.6,0.64,0.09,0.39,0.07,0.21,0,0.01
2012,98.27,0.64,0.11,0.48,0.17,0.32,0,0.02
2013,98.21,0.85,0.02,0.56,0.36,0,0,0
2014,97.04,1.39,0.3,1.12,0.15,0,0.01,0
2015,95.81,1.77,1.25,1.16,0,0,0.01,0.01
2016,90.8,3.3,4.36,1.49,0,0,0.03,0.02
2017,90.8,5.95,1.84,1.38,0,0,0.02,0.01
2018,85.95,8.42,4.26,1.27,0,0,0.09,0
2019,88.81,5.7,4.76,0.71,0,0,0.02,0
2020,85.56,9.02,3.95,1.41,0,0,0.06,0
2021,81.62,4.46,10.66,3.11,0,0,0.15,0
2022,80.52,4.72,10.99,3.26,0,0,0.51,0
2023,77.05,5.93,13.62,3.11,0,0,0.28,0
