"Date","Windows","OS X","Linux","Unknown","iOS","Chrome OS","Android","Other"
2009,98.47,0.83,0.54,0.14,0,0,0,0.03
2010,98.15,1.15,0.58,0.06,0.06,0,0,0.01
2011,98.38,0.94,0.38,0.04,0.25,0,0.01,0
2012,98.02,1.06,0.43,0.05,0.4,0,0.03,0.01
2013,97.94,1.32,0.6,0.02,0,0,0.11,0
2014,96.67,1.75,0.82,0.69,0,0.02,0.04,0
2015,95.72,2.1,1.14,1,0,0.03,0,0
2016,94.19,3.04,1.04,1.65,0,0.06,0,0.01
2017,93.88,3.75,1.2,1.09,0,0.07,0,0.01
2018,91.63,5.66,0.97,1.65,0,0.09,0,0
2019,92.48,5.2,0.93,1.35,0,0.03,0,0
2020,93.16,5.43,0.92,0.46,0,0.03,0,0
2021,92.53,5.02,1.32,1.08,0,0.05,0,0
2022,93.64,4.44,1.01,0.87,0,0.05,0,0
2023,93.01,3.83,1.37,1.73,0,0.06,0,0
