"Date","Android","iOS","SymbianOS","Unknown","BlackBerry OS","Nokia Unknown","Windows","Series 40","Linux","Samsung","LG","Other"
2012,27.68,40.94,21.81,0.29,7.97,0,0.07,0.89,0.05,0.09,0,0.19
2013,41.08,41.23,12.52,0.43,3.25,0.01,0.38,0.66,0.29,0.07,0,0.08
2014,53.56,39.84,3.75,0.73,0.88,0.11,0.57,0.27,0.2,0.03,0.02,0.03
2015,61.27,33.01,0.97,2.49,0.23,0.96,0.63,0.11,0.27,0.01,0.02,0.02
2016,65.15,27.5,0.26,4.46,0.13,1.18,0.57,0.28,0.37,0.04,0.03,0.02
2017,65.67,27.91,0.05,5.17,0.03,0.69,0.25,0.02,0.06,0.03,0.09,0.02
2018,68.7,29.25,0.02,1.81,0.01,0.01,0.08,0.02,0.01,0.07,0,0.02
2019,68.2,31.57,0.01,0.05,0,0,0.03,0.01,0.01,0.12,0,0.01
2020,62.06,37.71,0,0.02,0,0,0.01,0,0,0.18,0,0
2021,55.9,43.71,0,0.02,0,0,0,0,0,0.36,0,0
2022,52.77,46.63,0,0.01,0,0,0,0,0,0.58,0,0
2023,56.99,42.53,0,0.01,0,0,0,0,0.01,0.46,0,0
2009,0,0,0,0,0,0,0,0,0,0,0,0
2010,0,0,0,0,0,0,0,0,0,0,0,0
2011,0,0,0,0,0,0,0,0,0,0,0,0
