"Date","Android","iOS","Windows","Unknown","Samsung","Linux","BlackBerry OS","Playstation","Other"
2012,34.77,57.2,0.33,0.91,0.34,0.23,2.57,0.1,3.55
2013,34.44,55.38,0.89,3.97,1.17,0.2,1.93,0.02,2
2014,47.17,46.88,1.87,1.15,0.31,0.51,1.5,0.04,0.58
2015,70.92,23.84,2.59,0.56,0.03,0.33,1.17,0.11,0.45
2016,86.46,11.35,1.06,0.4,0.01,0.32,0.23,0.04,0.13
2017,89.15,9.38,0.6,0.43,0.02,0.15,0.13,0.02,0.12
2018,91.35,7.65,0.49,0.19,0.1,0.08,0.1,0.02,0.02
2019,89.21,10.4,0.19,0.04,0.03,0.08,0.03,0.01,0.02
2020,88.73,11.08,0.05,0.01,0.05,0.03,0.01,0.03,0.01
2021,90.31,9.47,0.04,0.01,0.09,0.02,0.01,0.02,0.02
2022,91.04,8.8,0.03,0.01,0.06,0.02,0.01,0.02,0.02
2023,90.8,9.09,0.03,0,0.04,0.01,0,0.01,0.01
2009,0,0,0,0,0,0,0,0,0
2010,0,0,0,0,0,0,0,0,0
2011,0,0,0,0,0,0,0,0,0
