"Date","Windows","OS X","Unknown","Linux","Chrome OS","iOS","Playstation","Android","","Other"
2009,93.6,5.93,0.16,0.18,0,0,0.1,0,0,0.03
2010,91.58,7.42,0.12,0.23,0,0.53,0.12,0,0,0.01
2011,89.12,8.82,0.07,1.08,0,0.59,0.24,0.05,0,0.02
2012,84.17,11.7,0.04,2.44,0.01,1.2,0.11,0.12,0.15,0.05
2013,84.69,13.78,0.03,1.27,0.03,0,0,0.19,0,0
2014,83.11,14.9,0.54,0.79,0.48,0,0,0.17,0,0
2015,81.99,13.65,2.58,0.95,0.81,0,0,0,0,0.01
2016,76.83,15.2,5.86,1.17,0.93,0,0,0,0,0.01
2017,78.23,15.88,3.62,0.91,1.36,0,0,0,0,0.01
2018,74.47,16.27,6.55,0.89,1.83,0,0,0,0,0
2019,75.42,16.57,5.89,0.58,1.53,0,0,0,0,0
2020,76.28,18.25,3.68,0.63,1.15,0,0,0,0,0
2021,74.84,14.89,6.57,0.63,3.07,0,0,0,0,0
2022,72.51,15.34,7.87,0.41,3.87,0,0,0,0,0
2023,64.33,22.11,9.02,1.74,2.8,0,0,0,0,0
