"Date","Windows","OS X","Unknown","Linux","Chrome OS","iOS","Android","Other"
2009,97.78,1.35,0.07,0.79,0,0,0,0.01
2010,97.88,1.4,0.06,0.61,0,0.03,0,0.03
2011,97.62,1.55,0.02,0.62,0,0.16,0.02,0.02
2012,96.98,1.95,0.02,0.6,0,0.34,0.07,0.05
2013,96.52,2.48,0.03,0.82,0.03,0,0.12,0
2014,94.79,3.5,0.5,1,0.15,0,0.06,0
2015,91.29,4.9,2.15,1.39,0.23,0,0,0.04
2016,85.31,6.39,6.88,1.18,0.22,0,0,0.03
2017,84.74,10.02,3.96,1.09,0.2,0,0,0
2018,83.25,11.02,4.31,1.22,0.2,0,0,0
2019,81.46,12.43,5.18,0.79,0.13,0,0,0
2020,82.23,12.72,3.78,0.99,0.28,0,0,0
2021,83.8,5.51,8.53,1.73,0.42,0,0,0
2022,84.27,4.88,8.43,1.62,0.8,0,0,0
2023,82.23,4.23,10.99,1.2,1.35,0,0,0
