"Date","iOS","Android","Windows","Linux","BlackBerry OS","Series 40","Samsung","SymbianOS","Unknown","bada","Playstation","webOS","Other"
2012,80.48,15.52,0.8,0.03,1.19,1.05,0.17,0.28,0.1,0.2,0.01,0.06,0.12
2013,75.06,16.36,4.42,1.88,0.82,0.93,0.03,0.15,0.15,0.04,0.01,0.06,0.09
2014,79.89,14.8,1.59,2.96,0.51,0.13,0,0.03,0.03,0.01,0.03,0,0.01
2015,78.12,16.55,1.72,3.08,0.45,0,0.01,0,0.01,0,0.05,0,0.02
2016,77.16,20.8,1.44,0.29,0.21,0.01,0.05,0,0,0,0.01,0,0.02
2017,74.5,24.46,0.84,0.06,0.05,0.02,0.05,0,0,0,0.01,0,0.01
2018,76.83,22.7,0.37,0.02,0.01,0,0.06,0,0,0,0,0,0.01
2019,73.08,26.74,0.1,0.01,0,0,0.06,0,0,0,0,0,0.02
2020,68.62,31.17,0.03,0.01,0,0,0.16,0,0,0,0,0,0.02
2021,67.08,32.64,0.01,0,0,0,0.26,0,0,0,0,0,0
2022,69.45,30.15,0.01,0,0,0,0.39,0,0,0,0,0,0
2023,68.85,30.92,0.02,0,0,0,0.21,0,0,0,0,0,0
2009,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,0,0,0,0,0,0,0,0,0,0,0,0,0
