"Date","iOS","Android","Linux","Playstation","Windows","Samsung","Nintendo 3DS","BlackBerry OS","Unknown","Nintendo","Series 40","SymbianOS","LG","Other"
2012,68.06,28.06,0.03,1.47,0.12,0.08,0.75,0.59,0.18,0.1,0.17,0.18,0,0.2
2013,63.68,33.22,0.57,0.5,0.26,0.04,0.66,0.23,0.24,0.16,0.23,0.08,0.05,0.09
2014,60.4,37.6,1.02,0.3,0.28,0.02,0.03,0.12,0.03,0.14,0.02,0,0.02,0.02
2015,60.01,37.82,1.08,0.2,0.63,0.01,0.03,0.07,0.03,0.02,0.08,0.01,0,0.01
2016,62.38,36.7,0.06,0.24,0.46,0.03,0.02,0.07,0.03,0,0,0,0,0.01
2017,58.21,41.11,0.1,0.42,0.1,0.01,0.02,0.01,0.01,0,0,0,0,0
2018,59.81,39.83,0.07,0.08,0.07,0.11,0.02,0,0.01,0,0,0,0,0
2019,50.94,48.82,0.06,0,0.03,0.13,0,0,0.01,0,0,0,0,0
2020,51.8,47.92,0.03,0,0.01,0.23,0,0,0,0,0,0,0,0
2021,54.37,44.87,0,0,0,0.75,0,0,0.01,0,0,0,0,0
2022,58.5,40.91,0,0,0,0.59,0,0,0,0,0,0,0,0
2023,58.56,40.91,0,0,0,0.52,0,0,0,0,0,0,0,0
2009,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,0,0,0,0,0,0,0,0,0,0,0,0,0,0
