"Date","Windows","OS X","Unknown","Linux","iOS","Android","Chrome OS","Other"
2009,99.2,0.43,0.08,0.29,0,0,0,0
2010,98.95,0.68,0.07,0.27,0.03,0,0,0
2011,98.21,1.16,0.03,0.31,0.27,0.02,0,0
2012,96.54,2.15,0.03,0.42,0.74,0.06,0,0.05
2013,95.57,3.8,0.03,0.4,0,0.16,0.03,0
2014,94.24,4.73,0.51,0.43,0,0.06,0.04,0
2015,93.7,4.47,1.1,0.68,0,0,0.04,0.01
2016,93.08,4.4,1.85,0.61,0,0,0.05,0.01
2017,93.24,4.79,1.36,0.56,0,0,0.05,0
2018,92.09,5.42,1.93,0.47,0,0,0.08,0
2019,91.84,5.69,1.95,0.46,0,0,0.06,0
2020,91.05,6.97,1.38,0.54,0,0,0.06,0
2021,84.5,9.26,5.23,0.85,0,0,0.15,0
2022,82.06,10.82,6.29,0.68,0,0,0.15,0
2023,81.5,9.65,7.65,1.01,0,0,0.19,0
