"Date","Android","iOS","Series 40","SymbianOS","Windows","Unknown","Nokia Unknown","Linux","Sony Ericsson","BlackBerry OS","Samsung","Playstation","LG","MeeGo","Nintendo 3DS","Other"
2012,30.98,21.93,20.69,16.33,1.85,4.51,0,0.12,1.87,0.29,0.59,0.05,0.12,0.35,0.07,0.24
2013,42.54,22.38,16.63,9.19,2.78,3.78,0,0.31,1.05,0.28,0.46,0.05,0.22,0.14,0.06,0.12
2014,65.81,20.76,5.78,2.37,3.2,1.02,0.06,0.24,0.27,0.15,0.12,0.06,0.08,0.04,0.01,0.02
2015,69.5,19.75,3.76,1.16,3.18,0.34,0.98,0.76,0.08,0.25,0.05,0.1,0.04,0.02,0.01,0.03
2016,74.14,19.76,1.51,0.4,2.16,0.24,0.71,0.5,0.04,0.42,0.03,0.06,0.02,0,0,0.01
2017,80.2,17.67,0.46,0.08,0.67,0.36,0.29,0.11,0.01,0.03,0.06,0.04,0.01,0,0,0.01
2018,78.78,20.25,0.2,0.04,0.29,0.14,0.11,0.07,0,0.02,0.07,0.02,0,0,0.01,0
2019,77.09,22.35,0.04,0.02,0.28,0.01,0.02,0.04,0,0.01,0.11,0.02,0,0,0,0
2020,79.77,19.96,0.01,0,0.04,0.01,0,0.01,0,0,0.17,0.01,0,0,0,0
2021,79.78,19.94,0.01,0,0.01,0.02,0,0.01,0,0.01,0.22,0.01,0,0,0,0
2022,77.27,22.46,0.01,0,0.01,0.02,0,0,0,0,0.23,0,0,0,0,0
2023,73.33,26.32,0.01,0.01,0.04,0.02,0,0.01,0,0.01,0.24,0,0,0,0,0.01
2009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
