"Date","iOS","Android","Windows","Samsung","Unknown","BlackBerry OS","Linux","SymbianOS","Series 40","Playstation","Nintendo 3DS","Nokia Unknown","Other"
2012,70.32,26.18,0.92,0.12,0.14,0.36,0.08,0.83,0.18,0.31,0.3,0,0.26
2013,65.52,31.29,1.56,0.05,0.11,0.28,0.24,0.43,0.32,0.04,0.04,0,0.13
2014,56.65,41.46,1.23,0.01,0.09,0.17,0.2,0.06,0.07,0.03,0.01,0.01,0.03
2015,57.74,39.66,1.7,0.02,0.11,0.24,0.26,0.04,0.03,0.06,0.05,0.04,0.05
2016,56.77,41.34,1.2,0.13,0.19,0.17,0.06,0.01,0,0.04,0.01,0.06,0.02
2017,56.1,42.45,0.56,0.28,0.41,0.09,0.03,0,0,0.02,0,0.03,0.01
2018,57.03,42.25,0.24,0.25,0.12,0.06,0.01,0.01,0,0.01,0,0.01,0.01
2019,44.59,54.76,0.09,0.25,0.24,0.02,0.03,0.01,0,0,0,0,0
2020,42.63,56.71,0.05,0.49,0.05,0.03,0.01,0.02,0,0,0,0,0.01
2021,46.96,52.34,0.01,0.65,0.02,0,0.02,0,0,0,0,0,0.01
2022,40.98,58.45,0.01,0.52,0.01,0,0.01,0,0,0,0,0,0
2023,39.24,60.03,0.08,0.55,0.02,0.02,0.02,0.01,0,0,0,0,0.02
2009,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,0,0,0,0,0,0,0,0,0,0,0,0,0
