"Date","Android","iOS","SymbianOS","Windows","Linux","BlackBerry OS","Unknown","Samsung","Other"
2012,36,22.74,39.51,0.36,0.13,1.17,0.05,0,0.03
2013,45.22,52.59,0,0.64,1.56,0,0,0,0
2014,41.71,53.62,2.02,0.67,1.45,0.07,0.45,0.01,0
2015,57.98,37.3,0.05,0.47,1.13,2.55,0.52,0,0
2016,54.34,44.54,0.06,0.42,0.11,0.28,0.08,0.14,0.03
2017,63.02,35.73,0.04,1.2,0,0.01,0,0,0
2018,59.76,40.07,0,0.17,0,0,0,0,0
2019,71.81,28.1,0,0.05,0,0,0,0,0.04
2020,61.02,38.86,0,0,0,0,0,0.12,0
2021,49.15,50.78,0,0,0,0,0.01,0.06,0
2022,61.58,38.38,0,0,0,0,0,0.03,0
2023,77.64,22.26,0,0,0,0,0,0.09,0
2009,0,0,0,0,0,0,0,0,0
2010,0,0,0,0,0,0,0,0,0
2011,0,0,0,0,0,0,0,0,0
