"Date","Windows","OS X","Linux","Unknown","iOS","Android","Chrome OS","Playstation","Other"
2009,93.18,5.14,1.44,0.19,0,0,0,0.05,0.01
2010,91.93,6.21,1.6,0.08,0.12,0,0,0.06,0.01
2011,90.31,7.25,1.65,0.06,0.57,0.06,0,0.08,0.01
2012,89.07,7.96,1.7,0.04,1.02,0.16,0,0.05,0.01
2013,88.4,9.41,1.85,0.02,0,0.32,0,0,0
2014,86.37,10.72,2.17,0.6,0,0.12,0.01,0,0
2015,83.24,12.67,3,1.01,0,0,0.04,0,0.03
2016,81.09,14,2.41,2.45,0,0,0.05,0,0.01
2017,79.18,17.36,2.27,1.05,0,0,0.13,0,0.01
2018,73.31,21.14,2,3.45,0,0,0.09,0,0.01
2019,69.24,24.72,1.77,4.21,0,0,0.06,0,0.01
2020,71.32,25.54,1.66,1.4,0,0,0.07,0,0
2021,76.93,15.82,3.75,3.25,0,0,0.23,0,0.01
2022,77.64,17.16,2.17,2.54,0,0,0.49,0,0
2023,76.07,16.19,2.13,5.14,0,0,0.46,0,0
