"Date","iOS","Android","Windows","SymbianOS","BlackBerry OS","Linux","Unknown","Other"
2012,67.34,27.74,0,0.25,0,4.67,0,0
2013,57.05,36.84,0,5.47,0,0.05,0.59,0
2014,74.15,24.65,1.1,0.03,0,0.07,0,0
2015,39.76,58.91,0.71,0,0.53,0.03,0.03,0.03
2016,54.19,43.54,1.22,0,1.03,0,0,0.02
2017,33.74,65.11,0.21,0,0.89,0,0.05,0
2018,32.87,66.84,0.02,0,0,0.25,0.02,0
2019,30.56,68.91,0,0,0,0.53,0,0
2020,17.89,82.07,0,0,0,0.04,0,0
2021,84.08,15.69,0.12,0,0.02,0,0,0.09
2022,99.46,0.54,0,0,0,0,0,0
2023,82.36,17.64,0,0,0,0,0,0
2009,0,0,0,0,0,0,0,0
2010,0,0,0,0,0,0,0,0
2011,0,0,0,0,0,0,0,0
