"Date","iOS","Android","Windows","Unknown","Samsung","BlackBerry OS","Nintendo 3DS","Other"
2012,78.85,19.19,0.08,0,0.01,0.52,0.42,0.94
2013,73.22,23.99,2.22,0.03,0.02,0.14,0.23,0.14
2014,73.54,25.37,0.64,0.39,0,0.03,0,0.04
2015,66.77,32.34,0.72,0,0,0.08,0.01,0.07
2016,77.29,22.22,0.36,0,0,0.03,0,0.09
2017,71.61,28.21,0.16,0,0,0.01,0,0
2018,57.43,42.47,0.1,0,0,0,0,0
2019,57.94,42.03,0.02,0,0,0,0,0
2020,58.16,41.81,0.01,0,0.02,0,0,0
2021,66.12,33.66,0,0.01,0.2,0,0,0
2022,73.77,26.02,0,0,0.2,0,0,0
2023,79.15,20.75,0,0,0.09,0,0,0
2009,0,0,0,0,0,0,0,0
2010,0,0,0,0,0,0,0,0
2011,0,0,0,0,0,0,0,0
