"Date","Windows","Unknown","OS X","Linux","iOS","Chrome OS","Android","Other"
2009,96.71,0.14,2.17,0.97,0,0,0,0.02
2010,96.05,0.08,2.21,1.61,0.04,0,0,0.01
2011,95.59,0.06,2.84,1.05,0.32,0,0.12,0.02
2012,95.54,0.09,2.68,0.92,0.59,0,0.14,0.03
2013,95.7,0.03,3.27,0.82,0,0.01,0.17,0
2014,93.5,0.21,5.26,0.88,0,0.07,0.07,0
2015,91.6,2.4,4.67,1.21,0,0.12,0,0.01
2016,85.2,7.66,5.4,1.64,0,0.1,0,0.01
2017,86.3,4.82,6.88,1.91,0,0.07,0,0.02
2018,82.39,6.88,8.97,1.57,0,0.19,0,0
2019,82.37,8.59,7.5,1.43,0,0.1,0,0.01
2020,82.34,8.11,8.09,1.36,0,0.09,0,0
2021,76.42,18.67,3.48,1.29,0,0.14,0,0
2022,73.2,22.3,2.86,1.4,0,0.23,0,0
2023,71.97,24.18,2.09,1.3,0,0.45,0,0
