"Date","Windows","OS X","Linux","Unknown","iOS","Chrome OS","Android","Playstation","Other"
2009,93.28,5.27,1.24,0.19,0,0,0,0.03,0
2010,91.09,7.61,1.09,0.07,0.08,0,0,0.06,0.01
2011,89.7,8.47,0.95,0.08,0.71,0,0.04,0.04,0
2012,88.62,8.75,1.1,0.05,1.33,0,0.12,0.03,0
2013,88.8,10.05,0.89,0.03,0,0.02,0.21,0,0
2014,87.55,11.09,0.97,0.15,0,0.2,0.05,0,0
2015,84.43,13.1,1.38,0.5,0,0.59,0,0,0
2016,78.19,18.85,1.12,1.28,0,0.56,0,0,0
2017,76.17,21.4,1.36,0.64,0,0.42,0,0,0
2018,67.91,28.71,0.58,2.33,0,0.47,0,0,0
2019,74.94,21.99,0.86,1.67,0,0.52,0,0,0
2020,71.03,27.42,1.03,0.19,0,0.32,0,0,0
2021,71.03,26,0.47,1.78,0,0.73,0,0,0
2022,79.16,17.97,0.45,1.58,0,0.84,0,0,0
2023,80.53,14.78,0.76,3.32,0,0.61,0,0,0
