"Date","Windows","OS X","Unknown","Linux","iOS","Chrome OS","Android","Other"
2009,96.12,1.83,1.62,0.42,0,0,0,0.01
2010,96.93,2.05,0.62,0.33,0.06,0,0,0.01
2011,96.53,2.29,0.39,0.31,0.4,0,0.07,0.01
2012,95.35,3.01,0.16,0.38,0.9,0,0.16,0.04
2013,95.83,3.18,0.04,0.44,0,0.01,0.5,0
2014,94.68,3.58,0.9,0.61,0,0.07,0.15,0
2015,91.91,4.25,3.03,0.67,0,0.14,0,0
2016,87.9,5.43,5.78,0.72,0,0.16,0,0.01
2017,88.67,6.58,3.8,0.7,0,0.25,0,0
2018,85.2,7.95,5.87,0.64,0,0.34,0,0
2019,82.11,9.53,7.28,0.71,0,0.37,0,0
2020,82.74,11.78,4.17,0.93,0,0.38,0,0
2021,85.66,6.61,5.67,1.18,0,0.88,0,0.01
2022,87.37,6.13,3.92,1.31,0,1.26,0,0.01
2023,83.84,5.14,6.46,1.3,0,3.25,0,0.01
