"Date","Windows","OS X","Linux","Unknown","iOS","Android","Playstation","Chrome OS","FreeBSD","Other"
2009,88.77,9.32,1.38,0.32,0,0,0.08,0,0.14,0
2010,87.24,11.01,1.27,0.12,0.14,0,0.14,0,0.06,0.02
2011,83.36,14.09,1.28,0.08,0.97,0.06,0.15,0,0,0.01
2012,81.55,15.22,1.21,0.06,1.64,0.25,0.05,0,0.01,0.01
2013,82.99,15.5,1.05,0.03,0,0.42,0,0.01,0,0
2014,82.5,15.16,0.98,1.18,0,0.13,0,0.04,0,0
2015,77.92,19.3,1.48,1.23,0,0,0,0.05,0.01,0.01
2016,74.91,20.03,1.13,3.87,0,0,0,0.06,0,0
2017,73.81,22.7,1.66,1.76,0,0,0,0.06,0.01,0
2018,69.89,25.76,1.56,2.65,0,0,0,0.14,0,0
2019,68.02,26.94,1.48,3.52,0,0,0,0.03,0,0
2020,66.82,29.56,1.9,1.65,0,0,0,0.07,0,0
2021,75.1,20.5,1.16,3.18,0,0,0,0.06,0.01,0
2022,76.09,20.18,0.99,2.57,0,0,0,0.16,0.01,0
2023,72.44,21.02,0.86,5.33,0,0,0,0.35,0,0
