"Date","Windows","OS X","Unknown","Linux","iOS","Chrome OS","Android","Other"
2009,99.3,0.53,0.05,0.12,0,0,0,0
2010,98.89,0.84,0.06,0.19,0.02,0,0,0.01
2011,98.29,1.24,0.06,0.24,0.14,0,0.02,0.01
2012,97.67,1.64,0.03,0.36,0.24,0,0.04,0.01
2013,97.33,2.05,0.02,0.48,0,0,0.13,0
2014,95.33,3.48,0.31,0.8,0,0.03,0.05,0
2015,92.53,4.73,1.57,1.11,0,0.05,0,0
2016,88.98,6.06,3.85,1.05,0,0.05,0,0.01
2017,87.02,9.65,1.87,1.38,0,0.08,0,0
2018,83.76,11.71,3.57,0.88,0,0.09,0,0
2019,79.94,14.69,4.65,0.65,0,0.06,0,0
2020,82.27,14.62,2.05,0.96,0,0.1,0,0
2021,89.34,6.78,2.75,0.98,0,0.14,0,0
2022,89.05,6.45,2.68,1.59,0,0.22,0,0
2023,82.2,9.19,6.23,2.04,0,0.33,0,0
