"Date","Windows","OS X","Unknown","Linux","Android","iOS","Chrome OS","Other"
2009,99.64,0.15,0.11,0.09,0,0,0,0.01
2010,99.31,0.35,0.12,0.15,0,0.05,0,0.02
2011,99.01,0.53,0.1,0.12,0.03,0.18,0,0.03
2012,98.24,0.83,0.07,0.17,0.11,0.56,0,0.02
2013,98.07,1.04,0.01,0.35,0.53,0,0,0
2014,97.82,1.25,0.28,0.47,0.18,0,0,0
2015,96.8,1.62,0.99,0.58,0,0,0.01,0
2016,95.09,2.24,2.12,0.51,0,0,0.03,0
2017,95.69,2.51,1.18,0.59,0,0,0.03,0
2018,92.27,3.81,2.99,0.78,0,0,0.15,0
2019,92.22,3.69,3.6,0.48,0,0,0.01,0
2020,91.88,5.97,1.31,0.8,0,0,0.03,0
2021,81.36,8.71,8.4,1.44,0,0,0.08,0.01
2022,83.46,6.52,7.61,2.27,0,0,0.12,0.02
2023,77.84,8.62,10.79,2.39,0,0,0.34,0.01
