"Date","Windows","OS X","Unknown","Linux","iOS","Android","Chrome OS","Other"
2009,98.5,1.06,0.03,0.38,0,0,0,0.03
2010,98.3,1.22,0.05,0.38,0.03,0,0,0.02
2011,97.93,1.42,0.01,0.36,0.24,0.02,0,0.01
2012,97.08,1.91,0.01,0.37,0.5,0.1,0,0.03
2013,96.74,2.13,0.05,0.59,0,0.49,0,0
2014,95.38,3.23,0.52,0.66,0,0.19,0.01,0
2015,91.16,5.16,2.68,0.98,0,0,0.03,0
2016,83.78,8.37,6.88,0.94,0,0,0.03,0
2017,83.76,13.21,1.94,1.06,0,0,0.04,0
2018,81.28,14.39,3.25,1.01,0,0,0.07,0
2019,78.03,15.28,5.87,0.8,0,0,0.02,0
2020,82.29,14.59,1.97,1.09,0,0,0.05,0
2021,87.78,4.29,6.17,1.65,0,0,0.11,0
2022,88.15,3.72,6.12,1.81,0,0,0.19,0.01
2023,83.89,3.7,9.86,2.33,0,0,0.21,0.01
