"Date","Windows","OS X","Unknown","Linux","Chrome OS","iOS","Android","Other"
2009,99.09,0.61,0.08,0.21,0,0,0,0.01
2010,99.13,0.62,0.04,0.18,0,0.02,0,0.01
2011,98.93,0.73,0.04,0.16,0,0.11,0.01,0.01
2012,98.04,1.28,0.03,0.23,0,0.36,0.04,0.03
2013,97.9,1.55,0.01,0.31,0,0,0.22,0
2014,97.09,2.01,0.3,0.5,0.03,0,0.07,0
2015,94.16,3.21,1.47,1.08,0.07,0,0,0
2016,92.03,2.33,4.58,0.93,0.12,0,0,0
2017,92.8,3.16,1.96,1.89,0.18,0,0,0
2018,90.58,3.71,4.18,1.32,0.2,0,0,0
2019,86.82,5.84,5.64,1.49,0.2,0,0,0
2020,88.2,7.21,2.73,1.65,0.21,0,0,0
2021,85.17,6.42,4.31,3.81,0.29,0,0,0
2022,79.12,12.08,5.55,2.71,0.52,0,0,0.01
2023,69.12,17.11,8.74,4.55,0.48,0,0,0
