"Date","Windows","OS X","Unknown","Linux","Android","iOS","Chrome OS","Playstation","Other"
2009,95.1,2.67,0.14,2.04,0,0,0,0.06,0
2010,94.62,4.1,0.07,1.05,0,0.07,0,0.08,0.01
2011,92.24,5.4,0.06,1.68,0.09,0.47,0,0.06,0.01
2012,91.28,6.37,0.04,1.28,0.28,0.67,0,0.07,0.01
2013,91.48,6.29,0.06,1.18,0.99,0,0.01,0,0
2014,88.69,7.52,2.15,1.16,0.32,0,0.16,0,0
2015,85.77,9.42,3.23,1.37,0,0,0.2,0,0
2016,81.1,11.07,4.99,2.62,0,0,0.21,0,0
2017,81.68,14.07,2.55,1.53,0,0,0.17,0,0
2018,76.82,16.15,5.4,1.46,0,0,0.15,0,0
2019,74.22,16.23,7.54,1.72,0,0,0.29,0,0
2020,74.31,20.79,2.31,1,0,0,1.58,0,0
2021,77.44,14.66,4.83,2.15,0,0,0.92,0,0
2022,79.15,13.21,5.06,2.02,0,0,0.55,0,0.01
2023,75.41,14.06,7.31,2.51,0,0,0.71,0,0.01
