"Date","Windows","OS X","Linux","Unknown","iOS","Android","Chrome OS","Other"
2009,87.88,1.42,0.61,10.05,0,0,0,0.03
2010,96.04,3.2,0.43,0.11,0.2,0,0,0.02
2011,93.88,5.22,0.22,0.11,0.52,0.04,0,0.02
2012,94.22,3.84,0.35,0.08,1.35,0.14,0,0.02
2013,93.91,4.67,0.98,0.04,0,0.38,0.01,0
2014,91.34,6.52,1.59,0.42,0,0.1,0.01,0.02
2015,69.99,4.62,23.86,1.45,0,0,0.07,0.01
2016,88.29,5.16,1.06,5.43,0,0,0.05,0.02
2017,87.78,5.34,3.69,3.08,0,0,0.07,0.04
2018,89.39,4.34,4.63,1.57,0,0,0.06,0.01
2019,85.54,6.14,5.81,2.46,0,0,0.06,0
2020,77.55,9.27,11.91,1.23,0,0,0.05,0
2021,68.37,23.4,3.95,3.89,0,0,0.26,0.13
2022,74.81,18.29,3.08,3.64,0,0,0.12,0.06
2023,76.45,8.29,6.87,8.28,0,0,0.07,0.03
