"Date","Windows","OS X","Linux","Unknown","iOS","Chrome OS","Android","Other"
2009,97.13,2.2,0.48,0.18,0,0,0,0.01
2010,97.03,2.36,0.45,0.09,0.05,0,0,0.02
2011,96.61,2.48,0.51,0.04,0.29,0,0.03,0.03
2012,95.68,3.01,0.73,0.07,0.38,0,0.07,0.04
2013,95.16,3.65,0.96,0.06,0,0.01,0.15,0
2014,92.42,6.05,1.18,0.23,0,0.07,0.06,0
2015,88.44,8.6,1.54,1.32,0,0.09,0,0
2016,82.76,12.61,1.42,3.12,0,0.09,0,0
2017,79.17,18.25,1.44,1.03,0,0.1,0,0
2018,75.18,20.97,1.51,2.18,0,0.14,0,0.02
2019,70.83,25.43,0.96,2.7,0,0.07,0,0
2020,73.86,24.05,0.96,1.02,0,0.11,0,0
2021,86.88,7.76,1.58,3.5,0,0.27,0,0
2022,85.57,7.28,2,4.8,0,0.34,0,0.01
2023,83.12,6.4,3.33,6.71,0,0.43,0,0
