"Date","Windows","OS X","Linux","Unknown","Android","iOS","Chrome OS","Other"
2009,98.6,0.44,0.87,0.08,0,0,0,0.01
2010,98.22,0.74,0.94,0.07,0,0.01,0,0.01
2011,98.02,0.93,0.86,0.03,0.02,0.14,0,0.01
2012,97.11,1.45,0.96,0.04,0.09,0.34,0,0.02
2013,97,1.62,0.98,0.02,0.38,0,0,0
2014,95.84,2.34,1.21,0.42,0.17,0,0.02,0
2015,94.59,2.92,1.33,1.1,0,0,0.06,0
2016,90.6,5.34,1.31,2.68,0,0,0.07,0
2017,90.67,6.69,1.63,0.94,0,0,0.07,0
2018,88.28,8.44,1.28,1.88,0,0,0.12,0
2019,87.68,8.99,1.16,2.09,0,0,0.07,0
2020,88.83,9.21,1.1,0.78,0,0,0.09,0
2021,89.66,4.75,2.06,3.22,0,0,0.3,0
2022,90.12,4.2,2.16,2.95,0,0,0.57,0
2023,87.42,3.72,2.57,5.65,0,0,0.64,0
